symbol,date,price,,
A,Jan 2000,39.81,,
A,Feb 2000,36.35,,
A,Mar 2000,43.22,,
A,Apr 2000,28.37,,
A,May 2000,25.45,,
A,Jun 2000,32.54,,
A,Jul 2000,28.4,,
A,Aug 2000,28.4,,
A,Sep 2000,24.53,,
A,Oct 2000,28.02,,
A,Nov 2000,23.34,,
A,Dec 2000,17.65,,
A,Jan 2001,24.84,,
A,Feb 2001,24,,
A,Mar 2001,22.25,,
A,Apr 2001,27.56,,
A,May 2001,28.14,,
A,Jun 2001,29.7,,
A,Jul 2001,26.93,,
A,Aug 2001,23.21,,
A,Sep 2001,20.82,,
A,Oct 2001,23.65,,
A,Nov 2001,26.12,,
A,Dec 2001,26.95,,
A,Jan 2002,25.92,,
A,Feb 2002,23.73,,
A,Mar 2002,24.53,,
A,Apr 2002,21.26,,
A,May 2002,20.71,,
A,Jun 2002,22.25,,
A,Jul 2002,19.52,,
A,Aug 2002,19.97,,
A,Sep 2002,17.79,,
A,Oct 2002,21.75,,
A,Nov 2002,23.46,,
A,Dec 2002,21.03,,
A,Jan 2003,19.31,,
A,Feb 2003,19.34,,
A,Mar 2003,19.76,,
A,Apr 2003,20.87,,
A,May 2003,20.09,,
A,Jun 2003,20.93,,
A,Jul 2003,21.56,,
A,Aug 2003,21.65,,
A,Sep 2003,22.69,,
A,Oct 2003,21.45,,
A,Nov 2003,21.1,,
A,Dec 2003,22.46,,
A,Jan 2004,22.69,,
A,Feb 2004,21.77,,
A,Mar 2004,20.46,,
A,Apr 2004,21.45,,
A,May 2004,21.53,,
A,Jun 2004,23.44,,
A,Jul 2004,23.38,,
A,Aug 2004,22.47,,
A,Sep 2004,22.76,,
A,Oct 2004,23.02,,
A,Nov 2004,24.6,,
A,Dec 2004,24.52,,
A,Jan 2005,24.11,,
A,Feb 2005,23.15,,
A,Mar 2005,22.24,,
A,Apr 2005,23.28,,
A,May 2005,23.82,,
A,Jun 2005,22.93,,
A,Jul 2005,23.64,,
A,Aug 2005,25.35,,
A,Sep 2005,23.83,,
A,Oct 2005,23.8,,
A,Nov 2005,25.71,,
A,Dec 2005,24.29,,
A,Jan 2006,26.14,,
A,Feb 2006,25.04,,
A,Mar 2006,25.36,,
A,Apr 2006,22.5,,
A,May 2006,21.19,,
A,Jun 2006,21.8,,
A,Jul 2006,22.51,,
A,Aug 2006,24.13,,
A,Sep 2006,25.68,,
A,Oct 2006,26.96,,
A,Nov 2006,27.66,,
A,Dec 2006,28.13,,
A,Jan 2007,29.07,,
A,Feb 2007,26.63,,
A,Mar 2007,26.35,,
A,Apr 2007,28.3,,
A,May 2007,29.11,,
A,Jun 2007,27.95,,
A,Jul 2007,27.5,,
A,Aug 2007,27.34,,
A,Sep 2007,28.04,,
A,Oct 2007,35.03,,
A,Nov 2007,32.09,,
A,Dec 2007,34,,
A,Jan 2008,31.13,,
A,Feb 2008,26.07,,
A,Mar 2008,27.21,,
A,Apr 2008,27.34,,
A,May 2008,27.25,,
A,Jun 2008,26.47,,
A,Jul 2008,24.75,,
A,Aug 2008,26.36,,
A,Sep 2008,25.78,,
A,Oct 2008,21.57,,
A,Nov 2008,19.66,,
A,Dec 2008,18.91,,
A,Jan 2009,16.63,,
A,Feb 2009,15.81,,
A,Mar 2009,17.99,,
A,Apr 2009,19.84,,
A,May 2009,20.59,,
A,Jun 2009,23.42,,
A,Jul 2009,23.18,,
A,Aug 2009,24.43,,
A,Sep 2009,25.49,,
A,Oct 2009,27.48,,
A,Nov 2009,29.27,,
A,Dec 2009,30.34,,
A,Jan 2010,28.05,,
A,Feb 2010,28.67,,
A,Mar 2010,28.8,,
C,Jan 2000,64.56,,
C,Feb 2000,68.87,,
C,Mar 2000,67,,
C,Apr 2000,55.19,,
C,May 2000,48.31,,
C,Jun 2000,36.31,,
C,Jul 2000,30.12,,
C,Aug 2000,41.5,,
C,Sep 2000,38.44,,
C,Oct 2000,36.62,,
C,Nov 2000,24.69,,
C,Dec 2000,15.56,,
C,Jan 2001,17.31,,
C,Feb 2001,10.19,,
C,Mar 2001,10.23,,
C,Apr 2001,15.78,,
C,May 2001,16.69,,
C,Jun 2001,14.15,,
C,Jul 2001,12.49,,
C,Aug 2001,8.94,,
C,Sep 2001,5.97,,
C,Oct 2001,6.98,,
C,Nov 2001,11.32,,
C,Dec 2001,10.82,,
C,Jan 2002,14.19,,
C,Feb 2002,14.1,,
C,Mar 2002,14.3,,
C,Apr 2002,16.69,,
C,May 2002,18.23,,
C,Jun 2002,16.25,,
C,Jul 2002,14.45,,
C,Aug 2002,14.94,,
C,Sep 2002,15.93,,
C,Oct 2002,19.36,,
C,Nov 2002,23.35,,
C,Dec 2002,18.89,,
C,Jan 2003,21.85,,
C,Feb 2003,22.01,,
C,Mar 2003,26.03,,
C,Apr 2003,28.69,,
C,May 2003,35.89,,
C,Jun 2003,36.32,,
C,Jul 2003,41.64,,
C,Aug 2003,46.32,,
C,Sep 2003,48.43,,
C,Oct 2003,54.43,,
C,Nov 2003,53.97,,
C,Dec 2003,52.62,,
C,Jan 2004,50.4,,
C,Feb 2004,43.01,,
C,Mar 2004,43.28,,
C,Apr 2004,43.6,,
C,May 2004,48.5,,
C,Jun 2004,54.4,,
C,Jul 2004,38.92,,
C,Aug 2004,38.14,,
C,Sep 2004,40.86,,
C,Oct 2004,34.13,,
C,Nov 2004,39.68,,
C,Dec 2004,44.29,,
C,Jan 2005,43.22,,
C,Feb 2005,35.18,,
C,Mar 2005,34.27,,
C,Apr 2005,32.36,,
C,May 2005,35.51,,
C,Jun 2005,33.09,,
C,Jul 2005,45.15,,
C,Aug 2005,42.7,,
C,Sep 2005,45.3,,
C,Oct 2005,39.86,,
C,Nov 2005,48.46,,
C,Dec 2005,47.15,,
C,Jan 2006,44.82,,
C,Feb 2006,37.44,,
C,Mar 2006,36.53,,
C,Apr 2006,35.21,,
C,May 2006,34.61,,
C,Jun 2006,38.68,,
C,Jul 2006,26.89,,
C,Aug 2006,30.83,,
C,Sep 2006,32.12,,
C,Oct 2006,38.09,,
C,Nov 2006,40.34,,
C,Dec 2006,39.46,,
C,Jan 2007,37.67,,
C,Feb 2007,39.14,,
C,Mar 2007,39.79,,
C,Apr 2007,61.33,,
C,May 2007,69.14,,
C,Jun 2007,68.41,,
C,Jul 2007,78.54,,
C,Aug 2007,79.91,,
C,Sep 2007,93.15,,
C,Oct 2007,89.15,,
C,Nov 2007,90.56,,
C,Dec 2007,92.64,,
C,Jan 2008,77.7,,
C,Feb 2008,64.47,,
C,Mar 2008,71.3,,
C,Apr 2008,78.63,,
C,May 2008,81.62,,
C,Jun 2008,73.33,,
C,Jul 2008,76.34,,
C,Aug 2008,80.81,,
C,Sep 2008,72.76,,
C,Oct 2008,57.24,,
C,Nov 2008,42.7,,
C,Dec 2008,51.28,,
C,Jan 2009,58.82,,
C,Feb 2009,64.79,,
C,Mar 2009,73.44,,
C,Apr 2009,80.52,,
C,May 2009,77.99,,
C,Jun 2009,83.66,,
C,Jul 2009,85.76,,
C,Aug 2009,81.19,,
C,Sep 2009,93.36,,
C,Oct 2009,118.81,,
C,Nov 2009,135.91,,
C,Dec 2009,134.52,,
C,Jan 2010,125.41,,
C,Feb 2010,118.4,,
C,Mar 2010,128.82,,
D,Jan 2000,100.52,,
D,Feb 2000,92.11,,
D,Mar 2000,106.11,,
D,Apr 2000,99.95,,
D,May 2000,96.31,,
D,Jun 2000,98.33,,
D,Jul 2000,100.74,,
D,Aug 2000,118.62,,
D,Sep 2000,101.19,,
D,Oct 2000,88.5,,
D,Nov 2000,84.12,,
D,Dec 2000,76.47,,
D,Jan 2001,100.76,,
D,Feb 2001,89.98,,
D,Mar 2001,86.63,,
D,Apr 2001,103.7,,
D,May 2001,100.82,,
D,Jun 2001,102.35,,
D,Jul 2001,94.87,,
D,Aug 2001,90.25,,
D,Sep 2001,82.82,,
D,Oct 2001,97.58,,
D,Nov 2001,104.5,,
D,Dec 2001,109.36,,
D,Jan 2002,97.54,,
D,Feb 2002,88.82,,
D,Mar 2002,94.15,,
D,Apr 2002,75.82,,
D,May 2002,72.97,,
D,Jun 2002,65.31,,
D,Jul 2002,63.86,,
D,Aug 2002,68.52,,
D,Sep 2002,53.01,,
D,Oct 2002,71.76,,
D,Nov 2002,79.16,,
D,Dec 2002,70.58,,
D,Jan 2003,71.22,,
D,Feb 2003,71.13,,
D,Mar 2003,71.57,,
D,Apr 2003,77.47,,
D,May 2003,80.48,,
D,Jun 2003,75.42,,
D,Jul 2003,74.28,,
D,Aug 2003,75.12,,
D,Sep 2003,80.91,,
D,Oct 2003,81.96,,
D,Nov 2003,83.08,,
D,Dec 2003,85.05,,
D,Jan 2004,91.06,,
D,Feb 2004,88.7,,
D,Mar 2004,84.41,,
D,Apr 2004,81.04,,
D,May 2004,81.59,,
D,Jun 2004,81.19,,
D,Jul 2004,80.19,,
D,Aug 2004,78.17,,
D,Sep 2004,79.13,,
D,Oct 2004,82.84,,
D,Nov 2004,87.15,,
D,Dec 2004,91.16,,
D,Jan 2005,86.39,,
D,Feb 2005,85.78,,
D,Mar 2005,84.66,,
D,Apr 2005,70.77,,
D,May 2005,70.18,,
D,Jun 2005,68.93,,
D,Jul 2005,77.53,,
D,Aug 2005,75.07,,
D,Sep 2005,74.7,,
D,Oct 2005,76.25,,
D,Nov 2005,82.98,,
D,Dec 2005,76.73,,
D,Jan 2006,75.89,,
D,Feb 2006,75.09,,
D,Mar 2006,77.17,,
D,Apr 2006,77.05,,
D,May 2006,75.04,,
D,Jun 2006,72.15,,
D,Jul 2006,72.7,,
D,Aug 2006,76.35,,
D,Sep 2006,77.26,,
D,Oct 2006,87.06,,
D,Nov 2006,86.95,,
D,Dec 2006,91.9,,
D,Jan 2007,93.79,,
D,Feb 2007,88.18,,
D,Mar 2007,89.44,,
D,Apr 2007,96.98,,
D,May 2007,101.54,,
D,Jun 2007,100.25,,
D,Jul 2007,105.4,,
D,Aug 2007,111.54,,
D,Sep 2007,112.6,,
D,Oct 2007,111,,
D,Nov 2007,100.9,,
D,Dec 2007,103.7,,
D,Jan 2008,102.75,,
D,Feb 2008,109.64,,
D,Mar 2008,110.87,,
D,Apr 2008,116.23,,
D,May 2008,125.14,,
D,Jun 2008,114.6,,
D,Jul 2008,123.74,,
D,Aug 2008,118.16,,
D,Sep 2008,113.53,,
D,Oct 2008,90.24,,
D,Nov 2008,79.65,,
D,Dec 2008,82.15,,
D,Jan 2009,89.46,,
D,Feb 2009,90.32,,
D,Mar 2009,95.09,,
D,Apr 2009,101.29,,
D,May 2009,104.85,,
D,Jun 2009,103.01,,
D,Jul 2009,116.34,,
D,Aug 2009,117,,
D,Sep 2009,118.55,,
D,Oct 2009,119.54,,
D,Nov 2009,125.79,,
D,Dec 2009,130.32,,
D,Jan 2010,121.85,,
D,Feb 2010,127.16,,
D,Mar 2010,125.55,,
B,Jan 2000,25.94,,
B,Feb 2000,28.66,,
B,Mar 2000,33.95,,
B,Apr 2000,31.01,,
B,May 2000,21,,
B,Jun 2000,26.19,,
B,Jul 2000,25.41,,
B,Aug 2000,30.47,,
B,Sep 2000,12.88,,
B,Oct 2000,9.78,,
B,Nov 2000,8.25,,
B,Dec 2000,7.44,,
B,Jan 2001,10.81,,
B,Feb 2001,9.12,,
B,Mar 2001,11.03,,
B,Apr 2001,12.74,,
B,May 2001,9.98,,
B,Jun 2001,11.62,,
B,Jul 2001,9.4,,
B,Aug 2001,9.27,,
B,Sep 2001,7.76,,
B,Oct 2001,8.78,,
B,Nov 2001,10.65,,
B,Dec 2001,10.95,,
B,Jan 2002,12.36,,
B,Feb 2002,10.85,,
B,Mar 2002,11.84,,
B,Apr 2002,12.14,,
B,May 2002,11.65,,
B,Jun 2002,8.86,,
B,Jul 2002,7.63,,
B,Aug 2002,7.38,,
B,Sep 2002,7.25,,
B,Oct 2002,8.03,,
B,Nov 2002,7.75,,
B,Dec 2002,7.16,,
B,Jan 2003,7.18,,
B,Feb 2003,7.51,,
B,Mar 2003,7.07,,
B,Apr 2003,7.11,,
B,May 2003,8.98,,
B,Jun 2003,9.53,,
B,Jul 2003,10.54,,
B,Aug 2003,11.31,,
B,Sep 2003,10.36,,
B,Oct 2003,11.44,,
B,Nov 2003,10.45,,
B,Dec 2003,10.69,,
B,Jan 2004,11.28,,
B,Feb 2004,11.96,,
B,Mar 2004,13.52,,
B,Apr 2004,12.89,,
B,May 2004,14.03,,
B,Jun 2004,16.27,,
B,Jul 2004,16.17,,
B,Aug 2004,17.25,,
B,Sep 2004,19.38,,
B,Oct 2004,26.2,,
B,Nov 2004,33.53,,
B,Dec 2004,32.2,,
B,Jan 2005,38.45,,
B,Feb 2005,44.86,,
B,Mar 2005,41.67,,
B,Apr 2005,36.06,,
B,May 2005,39.76,,
B,Jun 2005,36.81,,
B,Jul 2005,42.65,,
B,Aug 2005,46.89,,
B,Sep 2005,53.61,,
B,Oct 2005,57.59,,
B,Nov 2005,67.82,,
B,Dec 2005,71.89,,
B,Jan 2006,75.51,,
B,Feb 2006,68.49,,
B,Mar 2006,62.72,,
B,Apr 2006,70.39,,
B,May 2006,59.77,,
B,Jun 2006,57.27,,
B,Jul 2006,67.96,,
B,Aug 2006,67.85,,
B,Sep 2006,76.98,,
B,Oct 2006,81.08,,
B,Nov 2006,91.66,,
B,Dec 2006,84.84,,
B,Jan 2007,85.73,,
B,Feb 2007,84.61,,
B,Mar 2007,92.91,,
B,Apr 2007,99.8,,
B,May 2007,121.19,,
B,Jun 2007,122.04,,
B,Jul 2007,131.76,,
B,Aug 2007,138.48,,
B,Sep 2007,153.47,,
B,Oct 2007,189.95,,
B,Nov 2007,182.22,,
B,Dec 2007,198.08,,
B,Jan 2008,135.36,,
B,Feb 2008,125.02,,
B,Mar 2008,143.5,,
B,Apr 2008,173.95,,
B,May 2008,188.75,,
B,Jun 2008,167.44,,
B,Jul 2008,158.95,,
B,Aug 2008,169.53,,
B,Sep 2008,113.66,,
B,Oct 2008,107.59,,
B,Nov 2008,92.67,,
B,Dec 2008,85.35,,
B,Jan 2009,90.13,,
B,Feb 2009,89.31,,
B,Mar 2009,105.12,,
B,Apr 2009,125.83,,
B,May 2009,135.81,,
B,Jun 2009,142.43,,
B,Jul 2009,163.39,,
B,Aug 2009,168.21,,
B,Sep 2009,185.35,,
B,Oct 2009,188.5,,
B,Nov 2009,199.91,,
B,Dec 2009,210.73,,
B,Jan 2010,192.06,,
B,Feb 2010,204.62,,
B,Mar 2010,223.02,,
